year,team,seed,wins,losses,cwins,closses
2011,Ohio State,1,32,2,16,2
2011,Kansas,1,32,2,14,2
2011,Pittsburgh,1,27,5,15,3
2011,Duke,1,30,4,13,3
2011,North Carolina,2,26,7,14,2
2011,Florida,2,26,7,13,3
2011,Notre Dame,2,26,6,14,4
2011,San Diego State,2,32,2,14,2
2011,Syracuse,3,26,7,12,6
2011,Brigham Young,3,30,4,14,2
2011,Purdue,3,25,7,14,4
2011,Connecticut,3,26,9,9,9
2011,Kentucky,4,25,8,10,6
2011,Louisville,4,25,9,12,6
2011,Wisconsin,4,23,8,13,5
2011,Texas,4,27,7,13,3
2011,West Virginia,5,21,11,11,7
2011,Kansas State,5,22,10,10,6
2011,Vanderbilt,5,23,10,9,7
2011,Arizona,5,27,7,14,4
2011,Xavier,6,24,7,15,1
2011,Georgetown,6,21,10,10,8
2011,St. John's,6,21,11,12,6
2011,Cincinnati,6,25,8,11,7
2011,Washington,7,23,10,11,7
2011,Texas A&M,7,23,8,10,6
2011,UCLA,7,22,10,13,5
2011,Temple,7,25,7,14,2
2011,George Mason,8,25,7,15,3
2011,Butler,8,23,9,13,5
2011,UNLV,8,24,8,11,5
2011,Michigan,8,20,13,9,9
2011,Villanova,9,21,11,9,9
2011,Old Dominion,9,27,6,14,4
2011,Illinois,9,19,13,9,9
2011,Tennessee,9,19,14,8,8
2011,Georgia,10,21,11,9,7
2011,Florida State,10,21,10,11,5
2011,Michigan State,10,19,14,9,9
2011,Penn State,10,19,14,9,9
2011,Marquette,11,20,14,9,9
2011,VCU,11,23,11,12,6
2011,Gonzaga,11,24,9,11,3
2011,USC,11,18,14,10,8
2011,Missouri,11,23,10,8,8
2011,Clemson,12,21,11,9,7
2011,UAB,12,22,8,12,4
2011,Utah State,12,30,3,15,1
2011,Richmond,12,27,7,13,3
2011,Memphis,12,25,9,10,6
2011,Princeton,13,25,6,12,2
2011,Belmont,13,30,4,19,1
2011,Morehead State,13,24,9,13,5
2011,Oakland,13,25,9,17,1
2011,Indiana State,14,20,13,12,6
2011,Wofford,14,21,12,14,4
2011,Saint Peter's,14,20,13,11,7
2011,Bucknell,14,25,8,13,1
2011,Long Island,15,27,5,16,2
2011,Akron,15,23,12,9,7
2011,UC Santa Barbara,15,18,13,8,8
2011,Northern Colorado,15,21,10,13,3
2011,Texas-San Antonio,16,19,13,9,7
2011,Alabama State,16,17,17,11,7
2011,Boston University,16,21,13,12,4
2011,UNC Asheville,16,19,13,11,7
2011,Little Rock,16,19,16,7,9
2011,Hampton,16,23,9,11,5
