year,team,seed,wins,losses,cwins,closses
2012,Syracuse,1,31,2,17,1
2012,North Carolina,1,29,5,14,2
2012,Kentucky,1,32,2,16,0
2012,Michigan State,1,27,7,13,5
2012,Ohio State,2,27,7,13,5
2012,Kansas,2,27,6,16,2
2012,Duke,2,27,6,13,3
2012,Missouri,2,30,4,14,4
2012,Florida State,3,24,9,12,4
2012,Georgetown,3,23,8,12,6
2012,Baylor,3,27,7,12,6
2012,Marquette,3,25,7,14,4
2012,Wisconsin,4,24,9,12,6
2012,Michigan,4,24,9,13,5
2012,Indiana,4,25,8,11,7
2012,Louisville,4,26,9,10,8
2012,Vanderbilt,5,24,10,10,6
2012,Temple,5,24,7,13,3
2012,Wichita State,5,27,5,16,2
2012,New Mexico,5,27,6,10,4
2012,Cincinnati,6,24,10,12,6
2012,San Diego State,6,26,7,10,4
2012,UNLV,6,26,8,9,5
2012,Murray State,6,30,1,15,1
2012,Gonzaga,7,25,6,13,3
2012,Saint Mary's,7,27,5,14,2
2012,Notre Dame,7,22,11,13,5
2012,Florida,7,23,10,10,6
2012,Kansas State,8,21,10,10,8
2012,Creighton,8,28,5,14,4
2012,Iowa State,8,22,10,12,6
2012,Memphis,8,26,8,13,3
2012,Southern Mississippi,9,25,8,11,5
2012,Alabama,9,21,11,9,7
2012,Connecticut,9,20,13,8,10
2012,Saint Louis,9,25,7,12,4
2012,West Virginia,10,19,13,9,9
2012,Purdue,10,21,12,10,8
2012,Xavier,10,21,12,10,6
2012,Virginia,10,22,9,9,7
2012,Texas,11,20,13,9,9
2012,NC State,11,22,12,9,7
2012,Colorado,11,23,11,11,7
2012,Colorado State,11,20,11,8,6
2012,Harvard,12,26,4,12,2
2012,California,12,24,9,13,5
2012,South Florida,12,20,13,12,6
2012,VCU,12,28,6,15,3
2012,Long Beach State,12,25,8,15,1
2012,Montana,13,25,6,15,1
2012,Ohio,13,27,7,11,5
2012,New Mexico State,13,26,9,10,4
2012,Davidson,13,25,7,16,2
2012,St. Bonaventure,14,20,11,10,6
2012,Belmont,14,27,7,16,2
2012,South Dakota State,14,27,7,15,3
2012,Brigham Young,14,25,8,12,4
2012,Iona,14,25,7,15,3
2012,Loyola (MD),15,24,8,13,5
2012,Detroit-Mercy,15,22,13,11,7
2012,Lehigh,15,26,7,11,3
2012,Norfolk State,15,25,9,13,3
2012,UNC Asheville,16,24,9,16,2
2012,Vermont,16,23,11,13,3
2012,Lamar,16,23,11,11,5
2012,Mississippi Valley State,16,21,12,17,1
2012,Western Kentucky,16,15,18,7,9
2012,Long Island,16,25,8,16,2
